qid,题型,我的答案,P2v6答案,是否一致,差异说明
ins_a_001,mcq/推理判断,B,B,✓,
ins_a_002,mcq/计算题,A,A,✓,
ins_a_003,mcq/计算题,A,A,✓,
ins_a_004,mcq/逻辑推理,A,A,✓,
ins_a_005,multi/逻辑推理,ABCD,ABCD,✓,
ins_a_006,mcq/计算题,A,C,✗,免赔额协调：我按独立计算(e生保1.1万+太保0.2万)，P2v6按补偿原则(太保被e生保抵扣后=0)
ins_a_007,multi/推理判断,BC,BC,✓,
ins_a_008,multi/比较分析,ABC,AC,✗,P2v6漏选B：安佑福为重疾险不涵盖院外特定药品(grep无匹配=无此责任)，负向证据未捕获
ins_a_009,multi/逻辑推理,C,C,✓,
ins_a_010,multi/事实查询,ABCD,AB,✗,P2v6漏选CD：安佑福/富鸿金生现金价值"保单年度末载明未给公式"，负向描述未被识别
ins_a_011,multi/推理判断,BC,BC,✓,
ins_a_012,multi/事实查询,A,A,✓,
ins_a_013,mcq/比较分析,A,A,✓,
ins_a_014,multi/逻辑推理,AD,AD,✓,
ins_a_015,multi/比较分析,AB,B,✗,P2v6漏选A：智盈金生身故免责中明确有"自杀2年内免责+例外"
ins_a_016,multi/事实查询,CD,CD,✓,
ins_a_017,multi/逻辑推理,ABCD,BCD,✗,P2v6漏选A：国寿增益宝是终身寿险，被保险人身故必然触发身故保险金赔付
ins_a_018,multi/比较分析,BCD,ACD,✗,P2v6错选A漏B：众安白血病明确"统筹账户不可抵扣"(A错)；e生保明确"个人账户支出可抵扣"(B对)
ins_a_019,multi/事实查询,ABCD,BCD,✗,P2v6漏选A：智盈金生犹豫期20日内退保退还全部保险费
ins_a_020,mcq/推理判断,D,D,✓,
