qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,0,0,0
fc_b_001,999999.99%,999999.99%,999999.99%,999999.99%,0,0,0
fc_b_002,A,,,,0,0,0
fc_b_003,A,,,,0,0,0
fc_b_004,A,,,,0,0,0
fc_b_005,999999.99%,999999.99%,,,0,0,0
fc_b_006,A,,,,0,0,0
fc_b_007,A,,,,0,0,0
fc_b_008,A,,,,0,0,0
fc_b_009,A,,,,0,0,0
fc_b_010,A,,,,0,0,0
fc_b_011,A,,,,0,0,0
fc_b_012,A,,,,0,0,0
fc_b_013,B,,,,0,0,0
fc_b_014,999999.99,,,,0,0,0
fc_b_015,A,,,,0,0,0
fc_b_016,A,,,,0,0,0
fc_b_017,A,,,,0,0,0
fc_b_018,A,,,,0,0,0
fc_b_019,A,,,,0,0,0
fc_b_020,999999.99,,,,0,0,0
fin_b_001,A,,,,0,0,0
fin_b_002,A,,,,0,0,0
fin_b_003,A,,,,0,0,0
fin_b_004,A,,,,0,0,0
fin_b_005,A,,,,0,0,0
fin_b_006,A,,,,0,0,0
fin_b_007,A,,,,0,0,0
fin_b_008,A,,,,0,0,0
fin_b_009,A,,,,0,0,0
fin_b_010,A,,,,0,0,0
fin_b_011,A,,,,0,0,0
fin_b_012,A,,,,0,0,0
fin_b_013,999999.99,999999.99,,,0,0,0
fin_b_014,999999.99,999999.99,999999.99,,0,0,0
fin_b_015,公司名称>公司名称,999999.99,,,0,0,0
fin_b_016,公司名称>公司名称,999999.99,,,0,0,0
fin_b_017,999999.99,999999.99,,,0,0,0
fin_b_018,999999.99,999999.99,,,0,0,0
fin_b_019,公司名称>公司名称,999999.99,,,0,0,0
fin_b_020,999999.99,999999.99,999999.99,,0,0,0
ins_b_001,999999.99,,,,0,0,0
ins_b_002,A,,,,0,0,0
ins_b_003,999999.99,,,,0,0,0
ins_b_004,A,,,,0,0,0
ins_b_005,A,,,,0,0,0
ins_b_006,A,,,,0,0,0
ins_b_007,A,,,,0,0,0
ins_b_008,A,,,,0,0,0
ins_b_009,A,,,,0,0,0
ins_b_010,A,,,,0,0,0
ins_b_011,999999.99,,,,0,0,0
ins_b_012,A,,,,0,0,0
ins_b_013,A,,,,0,0,0
ins_b_014,A,,,,0,0,0
ins_b_015,A,,,,0,0,0
ins_b_016,A,,,,0,0,0
ins_b_017,A,,,,0,0,0
ins_b_018,999999.99,,,,0,0,0
ins_b_019,999999.99,,,,0,0,0
ins_b_020,A,,,,0,0,0
reg_b_001,A,,,,0,0,0
reg_b_003,999999.99,,,,0,0,0
reg_b_004,999999.99,,,,0,0,0
reg_b_005,A,,,,0,0,0
reg_b_007,999999.99,,,,0,0,0
reg_b_008,A,,,,0,0,0
reg_b_009,A,,,,0,0,0
reg_b_013,A,,,,0,0,0
reg_b_014,999999.99,,,,0,0,0
reg_b_015,A,,,,0,0,0
reg_b_016,999999.99,,,,0,0,0
reg_b_017,A,,,,0,0,0
reg_b_018,999999.99,,,,0,0,0
reg_b_020,A,,,,0,0,0
reg_b_021,A,,,,0,0,0
reg_b_023,A,,,,0,0,0
reg_b_024,A,,,,0,0,0
reg_b_025,A,,,,0,0,0
reg_b_026,A,,,,0,0,0
reg_b_027,A,,,,0,0,0
res_b_001,A,,,,0,0,0
res_b_002,A,,,,0,0,0
res_b_003,A,,,,0,0,0
res_b_004,A,,,,0,0,0
res_b_005,999999.99%,,,,0,0,0
res_b_006,A,,,,0,0,0
res_b_007,999999.99,,,,0,0,0
res_b_008,A,,,,0,0,0
res_b_009,A,,,,0,0,0
res_b_010,A,,,,0,0,0
res_b_011,A,,,,0,0,0
res_b_012,999999.99,,,,0,0,0
res_b_013,A,,,,0,0,0
res_b_014,A,,,,0,0,0
res_b_015,A,,,,0,0,0
res_b_016,A,,,,0,0,0
res_b_017,A,,,,0,0,0
res_b_018,A,,,,0,0,0
res_b_019,A,,,,0,0,0
res_b_020,A,,,,0,0,0
